,acc_id,acc_date,acc_state,acc_city,fix_port,source,bus_type,industry_sector,device_category,device_type,tradename_or_generic,manufacturer,num_injured,age_youngest,gender,acc_desc,injury_desc,report,category,mechanical,op_error,employee,notes,year,Address
8032,917753,2002-05-03,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,boat ride,In-house,1,2.0,F,"Entering the boat through the rear load position, guest fell and struck her head on another seat and cut her forehead.",0,0,Load/Unload: scrape or stumble,False,False,False,0,2002,"Anaheim, CA"
8665,906569,2001-08-18,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,LIM shuttle loop coaster,"Premier Rides, Inc.",1,27.0,F,Patron felt (L) Shoulder Discomfort after exiting the ride.,Left Shoulder Pain,0,Body pain (normal motion),False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
12101,900521,2000-04-29,TX,Houston,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,looping coaster,Schwarzkopf  Rides,1,40.0,F,Pain during ride.,Pain,0,Body pain (normal motion),False,False,False,SUPPLEMENTAL REPORT REC'D 1/08/01,2000,"Houston, TX"
3014,916601,2005-07-20,PA,0,F,Pennsylvania Dept. of Agriculture,Water park,amusement ride,pendulum,Flying carpet ride,Ali Baba,A.R.M. Inc.,1,6.0,F,Patron was in the front row when lap bar was released by the operator. Bar came down and caught patron's hand.,1 inch gash on back of right hand,0,Load/Unload: hit or pinched by restraint,False,False,False,0,2005,"0, PA"
2458,917228,2005-10-02,CA,Irvine,F,California Division of Occupational Safety and Health,Family entertainment center,amusement ride,spinning,Carousel,carousel,"Chance Manufacturing, Inc.",1,60.0,F,Guest was standing next to a horse with a member of her party riding the horse. She claims she received a scrape on her left calf from one of the horses.,cut on left calf,0,Impact: hit something within ride vehicle,False,False,False,0,2005,"Irvine, CA"
10078,907450,2001-05-27,NJ,0,P,New Jersey Dept. of Community Affairs,Carnival or rental,amusement ride,spinning,Spinning cups/tubs,Tubs of Fun,Hampton Amusement Rides LLC,1,6.0,F,Patron and cousin were in Tubs O Fun spinning the car and kidding around. Cousin grabbed patron's jacket sleeve as she was spinning wheel and wouldn't let go. The sleeve got causght in the wheel.,possible fractured or broken arm,0,Entrapment or pinch-point,False,False,False,Misbehavior of Rider,2001,"0, NJ"
9390,897400,2001-07-10,FL,Daytona,F,Florida Dept. of Agriculture,Water park,recreation,go-kart,Go-kart,go kart,0,2,11.0,U,11 & 18 yo hit center isle head on,spinal/back,0,Collision: go-kart or bumper car hit stationary object,False,False,False,0,2001,"Daytona, FL"
394,916215,2007-08-28,NJ,Pt. Pleasant Beach,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Swing ride,Wave Swinger,Zierer,1,0.0,U,"Stated by Jenny's mother'Jenny ws riding the Wave Swinger alone. As the ride ended, she unhooked her lap restraint believing the ride to be over and jumped out as the ride descended and was approximately 4 feet off the ground.' The operators and her parents assisted her up. Management then First-Aid was called. They went to Ocean County Care Center, but refused transport. Jenny appeared to developmentally diaabled.",0,0,Fall: ejection/fall from ride,False,False,False,Misbehavior of Rider,2007,"Pt. Pleasant Beach, NJ"
3671,918903,2005-03-31,CA,San Diego,F,California Division of Occupational Safety and Health,Sports or recreation facility,water park,wave device,Continuous wave,Flow Rider,Wave Loch / Flow Rider,1,20.0,F,Patron went down slide on a tube. She flipped to her left causing her face (left ear and jaw) to hit side pad on wall.,face injury,0,"Fall: patron fell off inner tube, mat or board",False,False,False,0,2005,"San Diego, CA"
10332,900745,2001-03-10,TX,0,P,Texas Dept. of Insurance,Carnival or rental,amusement ride,spinning,Himalaya-type,Alpine Bobs,"Chance Manufacturing, Inc.",1,13.0,F,Getting off the ride,Sprain,0,Load/Unload: scrape or stumble,False,False,False,As patron was exiting the ride the injury is not attributable to the  operation of the ride,2001,"0, TX"
8860,906708,2001-08-07,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,cars & track rides,Bumper car,bumper cars,Bertazzon 3B SLR,1,9.0,M,Guest was exiting his car at the end of the ride when he lost his footing and landed on his right hand.,Sprain,0,Load/Unload: scrape or stumble,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
6275,909674,2003-03-01,TX,0,P,Texas Dept. of Insurance,Carnival or rental,amusement ride,spinning,Plane/jet/helicopter,bumble bees,0,1,3.0,F,Fell exiting bees,abrasion,0,Load/Unload: scrape or stumble,False,False,False,0,2003,"0, TX"
2625,918958,2005-08-23,CA,Irvine,F,California Division of Occupational Safety and Health,Water park,water park,wave device,Wave pool,wave pool,Aquatic Amusement,1,0.0,M,Guest's mother stated that her son chipped his tooth in the wave pool. The mother was not at the park at the time of the incident and stated that her son did not report the incident to anyone at ***. The first notification the park received was a notice to appear in small claims court to have the park pay for her son's tooth to be repaired.,dental injury,0,Impact: hit something in participatory attraction,False,False,False,0,2005,"Irvine, CA"
4670,914059,2004-06-14,NJ,Pt. Pleasant Beach,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,Flitzer,Zierer,1,0.0,F,"As stated by patron, after putting her daughter in the Flitzer car, the operator instructed her to enter the moving car. She entered the car as it was moving forward. A car bumped her car from behind. Patron fell forward. Her hand was caught in the space between the track on deck, twisting her finger. Management was called.",First Aid was called. Her finger was caught between the deck and transported by first aid to OC Care Center.,0,Entrapment or pinch-point,False,True,False,Operator error,2004,"Pt. Pleasant Beach, NJ"
10497,904951,2000-09-10,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Himalaya-type,Musik Express,Bertazzon 3B SLR,1,4.0,M,"Father complained to manager that child was sliding in his seat on Sept. 10, no report was given at that time. On Sept. 11 father called in report saying child had pain to neck amd scraped knees.",Pain unknown,0,Impact: hit something within ride vehicle,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
1505,916750,2006-08-05,WI,0,F,"Wisconsin Dept. of Commerce, Safety and Building Division",Amusement park,recreation,go-kart,Go-kart,go kart,Johnson Karts,1,0.0,M,"Patrons were stopped in the go kart pit when they were hit from behind by another cart. Their vehicle was pushed forward, almost hitting the door of the go kart garage.",Head and jaw pain,0,Collision: patron-controlled vehicles,False,False,False,0,2006,"0, WI"
8690,909409,2001-08-17,IN,Indianapolis,P,Indiana Office of Fire and Building Safety,Carnival or rental,amusement ride,spinning,Wheel w/spinning cars,Twister,SDC,1,8.0,F,"8-year-old girl was ejected from the ride, landing on her face and shoulder.","Transported via ambulance to hospital.  Injuries to face, head, and neck.",https://saferparksdata.org/sites/default/files/accident_reports/IN_909409.pdf,Fall: ejection/fall from ride,False,False,False,"Ride operators said that they thought the child came out of the ride because she was too skinny and the lap bar didn't fit closely against her.  The ride's minimum height limit was 48""; the child was measured at 53"" by state investigators, but she was thin (only 68 pounds).",2001,"Indianapolis, IN"
9743,898437,2001-06-22,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Car ride,car ride,In-house,1,17.0,F,Guest was found disoriented.  She said she was bumped from behind on ***.,Disorientation.  Paramedics transported to *** Medical Center.,0,Collision: patron-controlled vehicles,False,False,False,0,2001,"Anaheim, CA"
11600,905896,2000-07-01,NJ,0,P,New Jersey Dept. of Community Affairs,Carnival or rental,amusement ride,spinning,Roll-o-plane/booster/speed,Sidewinder,Eyerly Aircraft Co.,0,0.0,U,A chain on one car broke causing the car to over rotate and strike the control bar. The ride was stopped right away and passangers were removed.,0,0,Unscheduled stop,True,False,False,Product failure,2000,"0, NJ"
8296,909260,2001-10-05,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,29.0,F,Lap bar jammed guest's right elbow.,"Pain, numbness, and tingling to arm.  Treated at ***.",0,Load/Unload: hit or pinched by restraint,False,False,False,0,2001,"Anaheim, CA"
10942,905347,2000-08-07,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,LIM shuttle loop coaster,"Premier Rides, Inc.",1,23.0,F,Guest stated as ride began to go backwards she felt pain in she shoulder.,Right shoulder pain,0,Body pain (normal motion),False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
12157,897495,2000-03-27,FL,Miami,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,cars & track rides,Track ride,dark ride,0,1,11.0,M,"Trans. for stitches, stood up fell out","Lac.forehead, 11 yo male 3 stitches",0,Fall: ejection/fall from ride,False,False,False,0,2000,"Miami, FL"
11698,897475,2000-06-24,FL,Kissimmee,F,Florida Dept. of Agriculture,Water park,water park,water slide,Tube slide,tube slide,0,1,0.0,U,"Hit head on slide, trans.",Hit head on slide,0,Impact: hit something in participatory attraction,False,False,False,0,2000,"Kissimmee, FL"
11969,900550,2000-05-31,TX,0,F,Texas Dept. of Insurance,Water park,water park,water slide,Water coaster,water coaster waterslide,Wave Tek,1,46.0,F,Fell off board and twisted ankle,twisted ankle,0,"Fall: patron fell off inner tube, mat or board",False,False,False,Precautionary transport for treatment by physician. SUPPLEMENTAL,2000,"0, TX"
1715,918643,2006-07-13,CA,San Dimas,F,California Division of Occupational Safety and Health,Water park,water park,aquatic play,Aquatic play area,water play structure,SCS Interactive,1,26.0,M,"Guest stated that while he was walking down the steps at ***, he slipped and grabbed onto the rail. Guest said he felt his left shoulder ""come out."" While siting in first aid, guest stated he felt his shoulder go back into place. Guest stated he would seek medical treatment at a hospital.",dislocated shoulder,0,Load/Unload: scrape or stumble,False,False,False,0,2006,"San Dimas, CA"
2519,912246,2005-09-10,FL,Pensacola,F,Florida Dept. of Agriculture,Amusement park,water park,water slide,Water slide - undefined,waterslide,0,1,5.0,M,A 5 year old male fell off water raft and hit right ear on the side wall of the water ride ***.,"Patron was examined by facility staff, and then transported to hospital at the request of the parents as a precaution, where he was treated for a bruised ear and released.",0,"Fall: patron fell off inner tube, mat or board",False,False,False,Follow up inspection found no deficiencies on slide or raft involved.,2005,"Pensacola, FL"
5358,918610,2003-08-10,CA,San Dimas,F,California Division of Occupational Safety and Health,Water park,water park,water slide,Water slide - undefined,waterslide,Pacific Custom Pools,1,50.0,M,Guest states that his tube flipped over at the bottom of ***. Guest has a small abrasion to his forehead and had pain to his right knee.,"forehead scrape, right knee pain",0,"Fall: patron fell off inner tube, mat or board",False,False,False,0,2003,"San Dimas, CA"
6398,911774,2002-10-27,WV,Fairmont,F,"West Virginia Division of Labor, Safety Section",Family entertainment center,recreation,go-kart,Go-kart,go kart,0,1,13.0,M,Driver lost control of go-kart and hit wall.  Driver said steering didn't work.,Chin and below eye hit steering wheel causing cut below eye.  Victim transported to hospital.,0,Collision: go-kart or bumper car hit stationary object,False,False,False,0,2002,"Fairmont, WV"
7970,910364,2002-05-18,NJ,Wildwood,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Swing ride,Wave Swinger,Zierer,2,12.0,F,"Guest stated that the ride stopped quickly at the end. She swung into the seat in front of her, bumping her right pinky finger.","Sprain, strain",0,Collision: patrons collided (participatory),False,False,False,0,2002,"Wildwood, NJ"
11445,905762,2000-07-07,NJ,0,F,New Jersey Dept. of Community Affairs,Water park,water park,water slide,Tube slide,tube slide,Pro Slide,1,51.0,F,Guest stated she fell within raft at end of ride.,Possible dislocated left shoulder,0,Hyperextension or dislocation,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
7509,910739,2002-06-26,NJ,Jackson,F,New Jersey Dept. of Community Affairs,Water park,water park,water slide,Water slide - undefined,waterslide,Pro Slide,1,8.0,F,Patron stated they were getting off the raft and slipped.,Right Thigh and Right Foot,0,Load/Unload: scrape or stumble,False,False,False,0,2002,"Jackson, NJ"
9662,907227,2001-06-27,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,recreation,go-kart,Go-kart,Formula K,"Formula K Raceway, Inc.",1,10.0,F,"Guest was struck in the rear by another guest intentionally. Guest was assessed on the track by the EMT, and EMS were notified, guest was released into the care of North",Pain,0,Collision: patron-controlled vehicles,False,False,False,Rider Hit by Others,2001,"0, NJ"
396,916206,2007-08-27,NJ,Clementon,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,water ride,Flume ride,flume ride,Intamin AG,1,0.0,U,"Patron states, ' I felt a pinch, my daughter said 'your bleeding' don't know what happened.",0,0,Unknown (not enough info),False,False,False,Inadvertent Rider Mishap,2007,"Clementon, NJ"
717,916112,2007-07-12,NJ,Marlton,P,New Jersey Dept. of Community Affairs,Carnival or rental,recreation,inflatable,Inflatable slide,4 in 1 Combo,The Inflatable Store,1,2.0,F,"As per witness, injured slid down slide in 4-1 combo and attempted to dismount slide prior to reaching bottom. Child leaned forward and rolled over onto her arm at the bottom of slide.",0,0,Impact: hit something in participatory attraction,False,False,False,Inadvertent Rider Mishap,2007,"Marlton, NJ"
5889,909700,2003-06-15,TX,ANTHONY,F,Texas Dept. of Insurance,Water park,water park,water slide,Water slide - undefined,waterslide,0,1,14.0,F,Hit head on slide,"Pain, possible concussion",0,Impact: hit something in participatory attraction,False,False,False,Supplement,2003,"ANTHONY, TX"
10881,905290,2000-08-10,NJ,Jackson,F,New Jersey Dept. of Community Affairs,Amusement park,recreation,play equipment,Play structure,climb nets,0,1,17.0,M,Guest stated he fell while attempting to climb rope.,Surface abrasion anterior right arm,0,Fall: in climb or play area,False,False,False,Inadvertent Rider Mishap,2000,"Jackson, NJ"
9959,907392,2001-06-08,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,water ride,Flume ride,flume ride,Intamin AG,1,11.0,F,"Patron was riding log flume, went down hill slid forward banged knees on front inside of boat.",Sore knees,0,Impact: hit something within ride vehicle,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
8285,901055,2001-10-07,TX,N. Houston,F,Texas Dept. of Insurance,Family entertainment center,recreation,go-kart,Go-kart,go kart,0,1,12.0,F,Guest hit by kart 12 on road course when he stopped because of a wreck on the road course.,Redness,0,Collision: patron-controlled vehicles,False,False,False,"Treated with ice pack, EMS transport/hospital",2001,"N. Houston, TX"
7330,910767,2002-07-07,NJ,Wildwood,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - wooden,wooden coaster,Custom Coasters Int.,1,8.0,F,Guest stated she was riding *** and friend's elbow hit her in the side.,Pain,0,Collision: patrons collided within vehicle,False,False,False,0,2002,"Wildwood, NJ"
9050,906822,2001-07-28,NJ,0,F,New Jersey Dept. of Community Affairs,Family entertainment center,recreation,go-kart,Go-kart,go kart,"J & J Amusements, Inc",1,9.0,M,"On Jounior track, at end of ride, ride operator stopped all carts, except for last one which rear ended patron.",Neck,0,Collision: patron-controlled vehicles,False,False,False,Rider Hit by Others,2001,"0, NJ"
2488,912249,2005-09-22,FL,Orlando,F,Florida Dept. of Agriculture,Other,recreation,challenge activity,Indoor skydiving,Sky Venture,SkyVenture,1,32.0,M,A 32 year old male rolled over in an unstable maneuver and struck the wind tunnel wall while skydiving on the SkyVenture ride.,Patron was checked by facility staff and then transported to hospital where he was treated for a dislocated shoulder and released.,0,Hyperextension or dislocation,False,False,False,Follow up inspection found no deficiencies with the SkyVenture ride.,2005,"Orlando, FL"
11643,905930,2000-06-28,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,Floorless coaster,Bolliger & Mabillard,1,12.0,F,Guest stated while ride came into station her neck jerked and started to hurt.,Neck pain after ride,0,Abrupt stop/drop/lurch,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
4029,918552,2004-08-18,CA,San Dimas,F,California Division of Occupational Safety and Health,Water park,water park,water slide,Tube slide,enclosed tube slide,Surf Coaster,1,17.0,F,"Guest stated that while she was riding down slide #1 of ***, she had fallen off the tube. Guest stated that she completed the ride without a tube. At the bottom of the ride, guest was having a hard time breathing due to asthma and felt pain in her rear end and lower back.","asthma attack, butt and lower back pain",0,"Fall: patron fell off inner tube, mat or board",False,False,False,0,2004,"San Dimas, CA"
2223,915830,2006-04-05,NJ,Cherry Hill,F,New Jersey Dept. of Community Affairs,Family entertainment center,recreation,go-kart,Go-kart,go kart,Electra Motorsports,1,16.0,M,"Kart # 10 was coming around bend in Electric go-karts, when he was struck from behind by another go kart. The guest, Joe, bumped his head in the back in reflex of the bumping.",0,0,Collision: patron-controlled vehicles,False,False,False,Loss of Control by Rider,2006,"Cherry Hill, NJ"
10667,905095,2000-08-24,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,water park,water slide,Body slide,Shotgun Falls,Surf Coaster,1,44.0,F,Guest states that while entering splash pool she hit her head with the locker key she was wearing on her wrist.,Abrasion/friction burn,0,Injured by foreign object,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
9263,906964,2001-07-17,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,other attraction,Sky ride/ski lift,sky ride,Poma Skyrides & Monorails,1,6.0,F,"Guest states that as she was attempting to get on the Sky Ride, the lap bar was down on one of the seats, she tried to get on the seat anyway causing her to fall on the platform.",Pain,0,Load/Unload: scrape or stumble,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
8641,901023,2001-08-19,TX,0,F,Texas Dept. of Insurance,Water park,water park,water slide,Water coaster,water coaster waterslide,0,1,23.0,F,"Came out of tube on ride, bumped head","Pain to neck, upper back",0,"Fall: patron fell off inner tube, mat or board",False,False,False,Precautionary transport for treatment by a physician,2001,"0, TX"
2510,914796,2005-09-12,NJ,Paramus,F,New Jersey Dept. of Community Affairs,Family entertainment center,amusement ride,spinning,Himalaya-type,Mini Himalaya,"Wisdom Industries, Ltd.",0,0.0,U,Track was broken. Has a Crack. Pressure from Cars Riding on the track. Secure weld performed in accordance with Manufacturers Instructions.,0,0,Equipment failure,True,False,False,Product failure,2005,"Paramus, NJ"
9284,906977,2001-07-16,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,water ride,Flume ride,flume ride,"O.D. Hopkins Associates, Inc.",1,17.0,M,Guest stated that while riding the *** he slid up into the front of the boat and got his leg wedged under the handrail after the first drop and his leg remained in that position until it was freeed by personnel.,Soft tissue,0,Entrapment or pinch-point,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
335,919367,2007-09-15,CA,Sacramento,F,California Division of Occupational Safety and Health,Water park,water park,water slide,Tube slide,54 Aqua-Tube,WhiteWater West Industries Ltd.,1,41.0,M,"Patron was going down with his granddaughter when a handle broke on their tube.  The tube flipped upside-down, causing the patron to injury his left wrist.",Injured wrist,0,"Fall: patron fell off inner tube, mat or board",True,False,False,"State officials found that the broken tube handle had several tiny holes in the center.  It looks like when the handle was being manufactured, air bubbles had gotten into the mold and left porosity in the handle, weakening it.  Examining the handle from the outside, there are no indications that anything is wrong with the tube handle.",2007,"Sacramento, CA"
11076,905461,2000-07-29,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,recreation,go-kart,Go-kart,go kart,"Formula K Raceway, Inc.",1,12.0,M,Guest lost control of car and drove into a guardrail. He banged his right knee on the steering column.,Contusion,0,Collision: go-kart or bumper car hit stationary object,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
2770,911886,2005-08-09,WI,Green Bay,F,"Wisconsin Dept. of Commerce, Safety and Building Division",Amusement park,amusement ride,spinning,Carousel,carousel,Theel Mfg.,1,0.0,F,"Rider was getting off a horse when she lost her balance, landing hard on her left ankle.",Sprained ankle.,0,Load/Unload: scrape or stumble,False,False,False,0,2005,"Green Bay, WI"
448,917140,2007-08-18,FL,0,F,Florida Dept. of Agriculture,Family entertainment center,water park,water slide,Water slide - undefined,waterslide,0,1,54.0,F,Fifty four year old female complained of head pain after being hit from behind by another patron at bottom of slide.,0,0,Collision: patrons collided (participatory),False,False,False,PATRON-LOST BALANCE,2007,"0, FL"
9685,907248,2001-06-26,NJ,0,0,New Jersey Dept. of Community Affairs,Amusement park,recreation,play equipment,Slide,dry slide,Aero-Mar Plastics,1,3.0,F,Guest's guardian states that guest was riding with her brother and the burlap came out from underneath of them. They tipped to one side and the guest struck the slide.,Abrasion,0,Impact: hit something in participatory attraction,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
8295,909400,2001-10-06,CT,Southington,P,Connecticut Dept. of Consumer Protection,Carnival or rental,amusement ride,spinning,Roll-o-plane/booster/speed,Roll-O-Plane,Eyerly Aircraft Co.,0,0.0,U,"Ride moved while operator was unloading two girls from their car.  As a result the girls ended up at the top, approximately 20 feet high, with the door still open.",0,https://saferparksdata.org/sites/default/files/accident_reports/CT_909400.pdf,Equipment failure,True,False,False,Owner/operator told state investigators that the cable might have been the problem as the weight of the 4 teenagers in the other car caused the ride to shift.  He adjusted the brake cable to take care of the problem.,2001,"Southington, CT"
5772,919288,2003-06-30,CA,Sacramento,F,California Division of Occupational Safety and Health,Water park,water park,water slide,Water slide - undefined,waterslide,0,1,12.0,M,Patron missed a step while ascending the stairs.,Lacerated knee,0,Injured in queue or exit,False,False,False,The accident was not reported by the park per state law; the report was found during a records audit the following year.,2003,"Sacramento, CA"
10235,907510,2001-04-29,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,other attraction,Simulator,Mad House,Vekoma,1,10.0,M,Guest stated that the lap bar fell tight on his right leg.,pain right leg,0,Restraint too tight,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
1740,916344,2006-07-10,TX,0,F,Texas Dept. of Insurance,Water park,water park,water slide,Water coaster,water coaster waterslide,0,1,45.0,M,Pain to left foot,Struck left foot on side of ride,0,Impact: hit something in participatory attraction,False,False,False,0,2006,"0, TX"
8714,906614,2001-08-15,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,Mine Train,Arrow Dynamics,1,38.0,F,Patron bumped right hand on lap bar while entering.,Cut Hand,0,Load/Unload: hit or pinched by restraint,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
2787,914753,2005-08-07,NJ,Jackson,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,mega coaster,Bolliger & Mabillard,0,0.0,U,Block Discrepancy. PLC discrepancy that showed a ghost train on transfer track. Changed prox in transfer track area and one in station. Cycled.,0,0,Equipment failure,True,False,False,Product failure,2005,"Jackson, NJ"
2537,916689,2005-09-05,PA,0,F,Pennsylvania Dept. of Agriculture,Amusement park,amusement ride,water ride,Flume ride,flume ride,0,1,35.0,M,Patron tried to keep son from moving forward in the boat while it was going down the hill. It is unknown how he was injured himself.,Fractured left ring finger and thumb,0,Impact: hit something within ride vehicle,False,False,False,0,2005,"0, PA"
4774,914032,2004-05-30,NJ,Pt. Pleasant Beach,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,cars & track rides,Bumper car,kiddie bumper cars,Zamperla,1,4.0,M,"As per father, patron was walking down the exit ramp pof the mini bumper cars. He walked into the latch on the post of the gate. His parents took him to the park office, first aid was called. The wound was treated, further treatment was rejected.",0,0,Injured in queue or exit,False,False,False,Loss of Control by Rider,2004,"Pt. Pleasant Beach, NJ"
8134,917662,2002-03-08,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,55.0,F,"Guest reported pain to hip, neck, elbow and wrist after riding the attraction.",0,0,Body pain (normal motion),False,False,False,0,2002,"Anaheim, CA"
3177,911352,2005-07-05,IL,0,P,Illinois Department of Labor,Carnival or rental,recreation,inflatable,Inflatable obstacle course,inflatable obstacle course,0,1,9.0,F,"Small child came off the slide at an awkward angle with some speed and hit the ground.  When she tried to brace herself before hitting the ground, the motion resulted in a broken arm.  She was taken by ambulance to the hospital.",Broken arm,0,Fall: in climb or play area,False,False,False,Attributed to: Patron; Reportable,2005,"0, IL"
2456,919627,2005-10-04,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,other attraction,Simulator,motion simulator,In-house,1,61.0,M,Guest stated he felt ill early this morning and worse after riding.  Guest relates history of high cholestrol and a congenital heart defect.,Illness.  Transported to local hospital.,0,Illness or neurological symptoms,False,False,False,0,2005,"Anaheim, CA"
12114,906299,2000-04-23,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Spinning cups/tubs,tea cups,Mack Rides,1,11.0,F,Ride was completely stopped. After ride was over patron & her friend stood up and bumped into each other bruising patron's lip.,Bruised lower lip,0,Load/Unload: scrape or stumble,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
10698,905125,2000-08-23,NJ,0,F,New Jersey Dept. of Community Affairs,Water park,water park,water slide,Mat slide,mat slide,Surf Construction,1,17.0,F,Rider fell off her mat and injured her thumbs.,Pain in both thumbs,0,Impact: hit something in participatory attraction,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
8503,906462,2001-08-28,NJ,Jackson,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Swing ride,Wave Swinger,Zierer,1,8.0,M,Patron bumped head on lap bar while entering the seat.,Head Cut,0,Load/Unload: hit or pinched by restraint,False,False,False,Inadvertent Rider Mishap,2001,"Jackson, NJ"
1091,917009,2007-02-24,FL,0,P,Florida Dept. of Agriculture,Carnival or rental,unknown,unknown,Unknown,kiddie ride,0,1,2.0,F,"Follow instructions: Two year old female removed seat restraint, climbed out of carrier while moving, received slight bruise to leg.",Leg bruise,0,Fall: ejection/fall from ride,False,False,False,PATRON-FAILED TO FOLLOW INSTRUCTIONS,2007,"0, FL"
5289,919708,2003-08-17,CA,Roseville,F,California Division of Occupational Safety and Health,Water park,water park,aquatic play,Aquatic play area,activity pool,In-house,1,0.0,U,Unknown,Unknown,0,Unknown (not enough info),False,False,False,0,2003,"Roseville, CA"
4613,911690,2004-06-21,TX,0,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,mega coaster,Giovanola,1,42.0,M,Jostled by ride,Contusion,0,Impact: hit something within ride vehicle,False,False,False,No confirmed outside medical,2004,"0, TX"
490,913968,2007-08-11,PA,0,F,Pennsylvania Dept. of Agriculture,Amusement park,water park,water slide,Water slide - undefined,waterslide,0,1,15.0,F,Raft flipped on the last turn towards the exit of the tube. The patron bumped her head. Patron was riding in front of raft. Email received stating patron went for medical treatment.,Right eyelid laceration,0,"Fall: patron fell off inner tube, mat or board",False,False,False,0,2007,"0, PA"
2965,914730,2005-07-23,NJ,Pleasant Beach,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,cars & track rides,Bumper car,bumper cars,Bertazzon 3B SLR,1,3.0,U,"Parents stated that Colin had been lethargic all day and that he threw up earlier in the day. After riding the airplanes, they left the ride, and after seconds started to walk toward the bumper cars. Colin stopped breathing, turned blue, his eyes rolled back and he threw up. Management was called, First-Aid was called. Colin began to come up. First-Aid arrived. Prior to first-aid 's arrival, Colin regained conciousness, he was breathing but was quiet and shaken and he seemed awake but not fully there. He was able to answer questions with one word responces. He was able to stand, but was wobbley. First-Aide transported Colin to Hospital.",0,0,Illness: Seizure or LOC,False,False,False,Inadvertent Rider Mishap,2005,"Pleasant Beach, NJ"
2445,917621,2005-10-09,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Plane/jet/helicopter,flying elephants,In-house,1,17.0,F,Unknown object entered guest's left eye during normal ride operation.,0,0,Injured by foreign object,False,False,False,0,2005,"Anaheim, CA"
11864,906119,2000-06-11,NJ,0,F,New Jersey Dept. of Community Affairs,Water park,water park,float attraction,Lazy river,lazy river,Aquatic Development Group,1,19.0,F,Guest stated she fell from raft after hitting water at end of slide.,Right shoulder pain,0,"Fall: patron fell off inner tube, mat or board",False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
